Time [s] 	 CH1 	 BGND1 	 CH2 	 BGND2 
10.958	10577	5882	7208	6550
10.98	2744	2657	6554	6069
11.001	10044	5870	6772	6825
11.023	2818	2699	5744	6166
11.045	9817	5930	7541	6843
11.067	2749	2687	5984	6081
11.088	9803	6003	6614	6788
11.11	2808	2706	5965	6063
11.132	10930	5810	7154	6733
11.154	2769	2712	6097	6026
11.175	11081	5918	7017	6672
11.197	2769	2669	7079	6209
11.219	10125	5961	6777	6776
11.241	2807	2681	7181	6276
11.262	9079	5936	7225	6703
11.284	2732	2766	6199	6325
11.306	10756	5942	7835	6758
11.328	2720	2699	6364	5959
11.349	10197	5930	7182	6593
11.371	2741	2712	6860	6258
11.393	11278	5695	6762	6879
11.415	2616	2754	6385	6215
11.436	10613	5804	8075	6940
11.458	2711	2693	6713	5971
11.48	11155	5888	7611	6648
11.502	2898	2699	5796	6112
11.523	10537	6015	7268	6806
11.545	2687	2706	6474	6349
11.567	9706	5737	6258	6818
11.588	2865	2730	6271	6270
11.61	9979	5707	7173	6892
11.632	2708	2718	6750	6209
11.654	10783	5816	6729	6788
11.675	2821	2706	6328	6252
11.697	10888	5942	7094	6843
11.719	2870	2712	7171	6294
11.741	10237	5876	7011	6800
11.762	2799	2706	5863	6075
11.784	11576	5930	7377	6831
11.806	2771	2712	6184	6221
11.828	9737	5737	7793	6782
11.849	2916	2663	6001	6118
11.871	9691	5870	7099	6672
11.893	2786	2706	6311	6203
11.915	11010	5822	7276	6751
11.936	2825	2730	5941	6185
11.958	11047	6142	6552	6623
11.98	2701	2724	6312	6112
12.002	8944	6130	6997	6758
12.023	2733	2681	6187	6124
12.045	8667	5961	6438	6928
12.067	2706	2718	6216	6081
12.089	10790	6009	6334	6715
12.11	2885	2736	6334	5837
12.132	10174	6087	7125	6514
12.154	2741	2681	6362	6039
12.176	10126	5997	6381	6666
12.197	2680	2681	6316	5874
12.219	10105	5840	7438	6818
12.241	2943	2730	6083	6124
12.262	9368	5912	6948	6782
12.284	2650	2675	5922	6276
12.306	9217	5816	7909	6934
12.328	2876	2724	6304	5923
12.349	10162	5810	7221	6727
12.371	2722	2706	6982	6008
12.393	10170	5707	6992	6904
12.415	2848	2736	5958	6240
12.436	9163	5864	6730	6898
12.458	2774	2730	5734	5996
12.48	10391	5918	6693	6721
12.502	2691	2712	6679	6099
12.523	10831	5955	7363	6690
12.545	2820	2706	6914	6380
12.567	11391	5834	6780	6855
12.589	2846	2706	6334	6264
12.61	9334	5791	7339	6550
12.632	2837	2693	5969	6045
12.654	10834	5906	7418	6678
12.676	2789	2712	6674	6008
12.697	9699	5804	6920	6879
12.719	2950	2675	6197	5825
12.741	10633	5864	6785	6788
12.763	2864	2693	6911	6343
12.784	10642	5816	6738	6703
12.806	2825	2736	5187	6197
12.828	10443	5912	6827	6776
12.85	2766	2681	5556	6032
12.871	10821	5918	7575	6648
12.893	2888	2706	6066	6051
12.915	9975	6015	7421	6904
12.936	2836	2706	5559	5831
12.958	10876	5888	7574	6672
12.98	2715	2681	6542	6410
13.002	10245	5719	7003	6831
13.023	2812	2712	6773	5904
13.045	10169	5870	6922	6806
13.067	2753	2687	6478	5953
13.089	10409	5900	6859	6782
13.11	2821	2681	6715	6032
13.132	10054	5719	7998	6727
13.154	2931	2675	6596	6173
13.176	9346	5924	7094	6770
13.197	3014	2718	6444	5971
13.219	8729	5882	7392	6812
13.241	2668	2693	6405	6294
13.263	9600	5900	7430	6690
13.284	2630	2706	6439	6099
13.306	10676	5773	6863	6776
13.328	2688	2706	5728	6173
13.35	10543	5840	7724	6800
13.371	2797	2712	6093	6355
13.393	10567	5761	6693	6916
13.415	2782	2663	6251	6087
13.437	10235	5798	6913	6873
13.458	2723	2693	5611	6319
13.48	10955	5870	7522	6684
13.502	2796	2687	5742	6179
13.524	9711	5955	6915	6642
13.545	2945	2706	6673	6154
13.567	10730	6033	6347	6837
13.589	2781	2706	5735	6301
13.61	9634	5888	7444	6825
13.632	2609	2724	6811	6039
13.654	9806	5930	7156	6892
13.676	2736	2687	6704	6087
13.697	10956	5888	7329	6806
13.719	2825	2699	6812	6124
13.741	9672	5707	6818	6672
13.763	2789	2724	6249	6045
13.784	10195	5906	7234	6776
13.806	2859	2712	5898	6301
13.828	9501	5804	8458	6818
13.85	2722	2693	6548	6045
13.871	10241	5828	7146	6983
13.893	2845	2681	6349	6428
13.915	9314	6003	7451	6800
13.937	2706	2699	6567	6563
13.958	9867	5852	7399	6800
13.98	2708	2687	5976	6246
14.002	10725	5689	6858	6794
14.024	2734	2730	6119	6166
14.045	9986	5719	7508	6630
14.067	2858	2748	6419	6093
14.089	9456	5616	7240	6788
14.111	2773	2663	6074	5990
14.132	9904	5562	7077	6764
14.154	2931	2718	5591	5990
14.176	10952	5677	7036	6879
14.198	2661	2699	6136	6020
14.219	9754	5562	7168	6776
14.241	2657	2669	6104	6191
14.263	11204	5840	7145	6690
14.284	2883	2693	6105	6045
14.306	9959	5634	7232	6690
14.328	2748	2718	6042	6233
14.35	11424	5755	6964	6794
14.371	2700	2693	6458	6014
14.393	10770	5689	6900	6727
14.415	2832	2736	6291	6014
14.437	9971	5580	7327	6940
14.458	2948	2712	6547	5984
14.48	11125	5604	6624	6879
14.502	2860	2681	6796	6087
14.524	9901	5610	7344	6733
14.545	2651	2681	6558	6093
14.567	10660	5846	7326	6764
14.589	2684	2712	6292	6002
14.611	10086	5677	7101	6800
14.632	2755	2687	6139	5801
14.654	10307	5731	7100	6739
14.676	2755	2712	6253	6039
14.698	9712	5592	6946	6758
14.719	2843	2693	6329	6185
14.741	9664	5749	7750	6977
14.763	2822	2699	5872	6075
14.785	9708	5707	7948	6690
14.806	2970	2718	6219	6124
14.828	10091	5713	7254	6837
14.85	2668	2712	5812	6081
14.872	9756	5665	6993	6666
14.893	2818	2663	6101	6252
14.915	9896	5755	6480	6885
14.937	2842	2693	6562	6069
14.958	8992	6027	6461	6611
14.98	2732	2687	6011	6057
15.002	8839	5538	7019	6873
15.024	2812	2669	5878	6118
15.045	9895	5791	7312	6745
15.067	2747	2699	5968	6288
15.089	9169	5725	7354	6721
15.111	2841	2742	6391	6045
15.132	9418	5647	7573	6630
15.154	2693	2706	6263	6355
15.176	10843	5743	7549	6855
15.198	2717	2693	6137	6039
15.219	10428	5767	7453	6782
15.241	2969	2748	6423	6221
15.263	10227	5906	7072	6806
15.285	2744	2663	7113	6215
15.306	9601	5773	7308	6873
15.328	2838	2687	6810	6313
15.35	11164	5719	7523	6794
15.372	2822	2706	6078	6069
15.393	10484	5701	6724	6684
15.415	2971	2730	5822	6221
15.437	9667	5677	6682	6666
15.459	2675	2706	7238	6002
15.48	8976	5695	7281	6660
15.502	2714	2681	6080	6197
15.524	10002	5743	7760	6739
15.546	2748	2712	5769	6386
15.567	8256	5640	6916	6776
15.589	2872	2706	5646	6185
15.611	9103	5665	6775	6690
15.632	2712	2712	6539	6294
15.654	10238	5761	8063	6538
15.676	2839	2706	6374	6166
15.698	8872	5550	7755	6648
15.719	2752	2718	6094	6045
15.741	9348	5483	7394	6575
15.763	2873	2736	6956	6130
15.785	9770	5653	6992	6678
15.806	2839	2706	6218	6051
15.828	10107	5683	6472	6575
15.85	2627	2706	6285	6020
15.872	10209	5671	6819	6867
15.893	2754	2712	6383	6203
15.915	10450	5701	6874	6672
15.937	2764	2669	6591	6008
15.959	9884	5520	7536	6690
15.98	2863	2681	6404	6069
16.002	10668	5828	7731	6818
16.024	2867	2693	7014	6166
16.046	10851	5683	6457	6690
16.067	2766	2718	7148	5935
16.089	9514	5574	7140	6690
16.111	2739	2693	7258	6361
16.133	9311	5634	6538	6709
16.154	2763	2687	6089	6136
16.176	9829	5798	7052	6727
16.198	2882	2706	6059	6166
16.22	9153	5580	6811	6666
16.241	2691	2681	6180	6307
16.263	10040	5707	7161	6782
16.285	3004	2681	5725	6075
16.306	10600	5973	8077	6666
16.328	2830	2730	5479	6154
16.35	10336	5616	6980	6794
16.372	2799	2706	5920	5917
16.393	9175	5785	7860	6690
16.415	2825	2687	5839	6416
16.437	9423	5671	7040	6770
16.459	2837	2681	8351	5923
16.48	10179	5580	7566	6873
16.502	2787	2675	6461	5996
16.524	9463	5580	6605	6672
16.546	2796	2712	6231	6063
16.567	9347	5701	7168	6709
16.589	2739	2724	6032	6099
16.611	10565	5550	7049	6764
16.633	2787	2706	5873	6093
16.654	9980	5574	6993	6532
16.676	2871	2699	5971	6227
16.698	10104	5647	6909	6794
16.72	2771	2724	6769	6112
16.741	10503	5737	6804	6745
16.763	2853	2718	5462	6093
16.785	10289	5550	6795	6849
16.807	2739	2706	6156	6069
16.828	11098	5689	6830	6709
16.85	2717	2712	5958	5825
16.872	9655	5840	7232	6672
16.894	2808	2693	6616	5892
16.915	9694	5665	7067	6745
16.937	2879	2736	6046	6282
16.959	10350	5592	7183	6642
16.981	2694	2693	5874	6252
17.002	10479	5822	7353	6758
17.024	2708	2687	5702	5984
17.046	9551	5640	6585	6623
17.067	2718	2712	5983	6361
17.089	10521	5659	6890	6770
17.111	2793	2706	5929	6087
17.133	11084	5713	6833	6995
17.154	2938	2724	6196	5990
17.176	9131	5550	6235	6684
17.198	2860	2724	6674	6099
17.22	9712	5562	7093	6843
17.241	2730	2681	6627	5856
17.263	10082	5779	7708	6690
17.285	2835	2736	6079	6142
17.307	10523	5622	6720	6715
17.328	2808	2718	8791	6301
17.35	9623	5441	7868	6550
17.372	2756	2675	5784	5990
17.394	8423	5586	6611	6751
17.415	2875	2712	6475	5953
17.437	11374	5647	7100	6593
17.459	2895	2706	6385	6087
17.481	9845	5659	7379	6818
17.502	3088	2718	6434	6075
17.524	9679	5574	7164	6587
17.546	2861	2675	5706	6112
17.568	9724	5647	7524	6794
17.589	2791	2687	6656	6020
17.611	9666	5731	6987	6806
17.633	2886	2706	5477	6008
17.655	9201	5689	7013	6934
17.676	2711	2718	6156	6130
17.698	9973	5483	7416	6605
17.72	2760	2675	5996	6154
17.741	9672	5598	7155	6672
17.763	2728	2699	6367	6166
17.785	9414	5598	6452	6642
17.807	2679	2693	7046	6142
17.828	9705	5574	7367	6764
17.85	2894	2706	6450	5929
17.872	11083	5852	7559	6617
17.894	2718	2706	6257	6075
17.915	8902	5701	7188	6800
17.937	2754	2693	6126	6166
17.959	9369	5689	6769	6733
17.981	2783	2718	5669	6032
18.002	10325	5550	7572	6849
18.024	2730	2730	6178	6118
18.046	9597	5647	6824	6831
18.068	2819	2687	6839	6124
18.089	10264	5610	7185	6630
18.111	2821	2681	8032	6142
18.133	9361	5574	7286	6660
18.155	2799	2718	6063	6197
18.176	10508	5574	6580	6800
18.198	2827	2706	6261	6093
18.22	10727	5586	7855	6837
18.242	2774	2724	5951	6173
18.263	10102	5701	7206	6776
18.285	2716	2687	5950	6270
18.307	9999	5647	7846	6971
18.329	2725	2669	5469	6014
18.35	8717	5701	6722	6764
18.372	2930	2681	5820	6227
18.394	8805	5743	7054	6898
18.415	2829	2706	5662	6099
18.437	10377	5894	7050	6794
18.459	2653	2699	5380	6349
18.481	10510	5604	7031	6794
18.502	2865	2712	6308	6325
18.524	11481	5477	7806	6837
18.546	3011	2681	6548	6136
18.568	9962	5659	7604	6812
18.589	2692	2669	6173	6106
18.611	9267	5610	6365	6630
18.633	2813	2712	6141	6026
18.655	10611	5659	6906	6660
18.676	2857	2736	6125	6240
18.698	9979	5616	7019	6715
18.72	2706	2699	6195	6063
18.742	10095	5743	6354	6672
18.763	2734	2675	5517	6136
18.785	9792	5701	7058	6715
18.807	2833	2669	6793	6203
18.829	10129	5737	6964	6751
